item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q6292303,José Manteigas Gabriel,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,male,Q6292303-5EF079BD-3314-4E23-AA35-3817B0F33ACD
Q111841573,José Manuel Samo Gudo,Q1425821,RENAMO,Q379658,Maputo Province,2020-01-13,,male,Q111841573-B12F4423-644D-4A21-9854-6DE9DE8B8504
Q111843411,Jovial Setina Mutombene Marengue da Cruz,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,,Q111843411-10BD962F-60EC-4075-BB69-5131CB876547
Q111843412,João Catemba Chacuamba,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843412-25F6F3AF-A603-4BCF-AA48-F4E431BE618A
Q111843413,João Samuel Watchy,Q1425821,RENAMO,Q622799,Niassa Province,2020-01-13,,,Q111843413-F68E2FCC-793E-4C8A-9E46-F98A356A6BB1
Q111841593,Julieta António,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,female,Q111841593-1AF3920D-EF76-40F3-B3BA-4258531AAA61
Q111843414,Kintheyaro Júlia Mariana Aguacheiro,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843414-3BDEDF5E-3884-4692-BC69-B93B3524E8A3
Q111841600,Laura Fernanda Souto …,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,female,Q111841600-1702BD47-6928-4378-A8D3-3EF810961013
Q111841601,Laura Maria de Jesus Amadeu,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,female,Q111841601-AA15E34E-25D2-414F-8713-20CE7E62868C
Q111841603,Leopoldo Alfredo Ernesto,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841603-CFE45C36-64FE-49BB-BE4A-2C8C6CC295CE
Q111841604,Lina Francisco Fafetine Ofiço,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,female,Q111841604-436B07BA-EDA2-4E8D-8C6A-EE80EE78B571
Q111828638,Luciano André de Castro,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111828638-247113EF-240A-4FC0-A5FE-3E3B93A0623C
Q111841607,Lucinda Bela das Dores Impitule Malema,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,female,Q111841607-A1B2E628-C82B-44E5-AA61-EFC3C003A1B8
Q111841608,Lucília José Manuel Nota Hama,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,female,Q111841608-1F8CAF33-701A-413D-81CA-758AD6616D0E
Q111841609,Lutero Chimbirombiro Simango,Q668181,Democratic Movement of Mozambique,Q3889,Maputo,2020-01-13,,male,Q111841609-92C97277-177A-47AD-BE63-67E6BBD1B8DD
Q111843415,Luísa André Avelino Cuchamano,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,,Q111843415-2CAF5471-6135-4F88-9D0F-D1818CFB686B
Q111843416,Lúcia José Madeira,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843416-7E90EA63-4BF1-4990-9B70-C17A11EBE75D
Q111843417,Lúcia Pedro Mafuiane,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843417-2A43C038-3F35-4A27-8F6C-5B91AE10B921
Q111841612,Lúcia Xavier Afate,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,female,Q111841612-EA944C47-F424-47FB-8E35-3711DFBF6955
Q111843418,Manuel Alex Muacuane,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843418-ED87AA05-C8BC-4E51-B5EA-EBEC0C32F632
Q111843419,Manuel Pereira Zuze Caliquete,Q1425821,RENAMO,Q605787,Tete Province,2020-01-13,,,Q111843419-B6938F15-84E8-4ACF-A76D-C89F6E4743F1
Q111843420,Manuel Rodrigo Ramessane,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843420-8C48E123-5F55-46AC-A572-3A1EC911599E
Q111843421,Manuel Vasconcelos Estrela Manuel Maria,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,,Q111843421-D2523509-0326-4D12-8565-80C0C31B76DE
Q111843422,Margarida Adamugi Talapa,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843422-83E15FE7-F1BD-44D2-B044-B30E507B28B4
Q111843423,Margarida José Naiete,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,,Q111843423-91A2D0CD-0043-4C62-BF4F-8DF92D02BF74
Q111841615,Margarida Manuel Salimo,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,female,Q111841615-45C4886F-32A2-4DCC-9117-1787CC4BB2C5
Q111841616,Margarida Sebastião Mapandzene Chongo,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,female,Q111841616-A93427DC-3C09-4809-AB73-129C4A222C44
Q111843424,Maria Alice Saize,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,,Q111843424-4F1C35A1-4E60-422A-A47A-A9518C4FCDE4
Q111841618,Maria Anastácia da Costa Xavier,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,female,Q111841618-C8EE57B3-3CC1-47B5-8085-5A558A93DA28
Q6760997,Maria Angelina Dique Enoque,Q1425821,RENAMO,Q622792,Manica Province,1994,,female,Q6760997-74241541-483a-f3a4-bd19-50e61d5e3520
Q111841619,Maria Bachir,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,female,Q111841619-86638A37-EB50-4343-AC57-EACB0239BEE0
Q111843425,Maria Celeste Mucote Mavungue Cachite,Q1425821,RENAMO,Q622801,Sofala,2020-01-13,,,Q111843425-9E848722-1EE5-4E0B-8391-81A4A38D8EBC
Q111841621,Maria Inês Martins,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,female,Q111841621-9E65CA81-16A9-425F-9DAB-56391A442AE8
